'192, SCC 192', 'mrtc', 'fdct', 3309, 3182
'256, SCC 256', 'mrtc', 'fdct', 3318, 3182
'512, SCC 512', 'mrtc', 'fdct', 3304, 3182
'1024, SCC 1024', 'mrtc', 'fdct', 3213, 3182
'32, SCC 32', 'mrtc', 'fft1', 200755, 78616
'128, SCC 128', 'mrtc', 'fft1', 161306, 78616
'192, SCC 192', 'mrtc', 'fft1', 157084, 78616
'256, SCC 256', 'mrtc', 'fft1', 153063, 78616
'512, SCC 512', 'mrtc', 'fft1', 171344, 78616
'1024, SCC 1024', 'mrtc', 'fft1', 222811, 78616
'32, SCC 32', 'mrtc', 'fibcall', 915, 734
'128, SCC 128', 'mrtc', 'fibcall', 914, 734
'192, SCC 192', 'mrtc', 'fibcall', 847, 734
'256, SCC 256', 'mrtc', 'fibcall', 856, 734
'512, SCC 512', 'mrtc', 'fibcall', 842, 734
'1024, SCC 1024', 'mrtc', 'fibcall', 772, 734
'32, SCC 32', 'mrtc', 'fir', 3102, 2833
'128, SCC 128', 'mrtc', 'fir', 3101, 2833
'192, SCC 192', 'mrtc', 'fir', 3041, 2833
'256, SCC 256', 'mrtc', 'fir', 3050, 2833
'512, SCC 512', 'mrtc', 'fir', 2941, 2833
'1024, SCC 1024', 'mrtc', 'fir', 2864, 2833
'32, SCC 32', 'mrtc', 'insertsort', 2404, 2117
'128, SCC 128', 'mrtc', 'insertsort', 2403, 2117
'192, SCC 192', 'mrtc', 'insertsort', 2343, 2117
'256, SCC 256', 'mrtc', 'insertsort', 2352, 2117
'512, SCC 512', 'mrtc', 'insertsort', 2225, 2117
'1024, SCC 1024', 'mrtc', 'insertsort', 2148, 2117
'32, SCC 32', 'mrtc', 'janne_complex', 1243, 1020
'128, SCC 128', 'mrtc', 'janne_complex', 1242, 1020
'192, SCC 192', 'mrtc', 'janne_complex', 1126, 1020
'256, SCC 256', 'mrtc', 'janne_complex', 1135, 1020
'512, SCC 512', 'mrtc', 'janne_complex', 1121, 1020
