'128, SCC 2048', 'mibench', 'qsort_small', 53148408, 47710636
'256, SCC 2048', 'mibench', 'qsort_small', 51230101, 47710636
'512, SCC 2048', 'mibench', 'qsort_small', 50302438, 47710636
'128, SCC 2048', 'mibench', 'rawcaudio', 86696918, 73413348
'256, SCC 2048', 'mibench', 'rawcaudio', 86724765, 73413348
'512, SCC 2048', 'mibench', 'rawcaudio', 86696870, 73413348
'128, SCC 2048', 'mibench', 'rawdaudio', 65526567, 55339158
'256, SCC 2048', 'mibench', 'rawdaudio', 65603953, 55339158
'512, SCC 2048', 'mibench', 'rawdaudio', 65526519, 55339158
'128, SCC 2048', 'mibench', 'rsynth_tiny', 45753377, 39549516
'256, SCC 2048', 'mibench', 'rsynth_tiny', 42689431, 39549516
'512, SCC 2048', 'mibench', 'rsynth_tiny', 42093546, 39549516
'128, SCC 2048', 'mibench', 'search_large', 14015092, 12904076
'256, SCC 2048', 'mibench', 'search_large', 13931105, 12904076
'512, SCC 2048', 'mibench', 'search_large', 13678846, 12904076
'128, SCC 2048', 'mibench', 'search_small', 561843, 526094
'256, SCC 2048', 'mibench', 'search_small', 558118, 526094
'512, SCC 2048', 'mibench', 'search_small', 549822, 526094
'128, SCC 2048', 'mibench', 'sha', 26280879, 24033031
'256, SCC 2048', 'mibench', 'sha', 25953277, 24033031
'512, SCC 2048', 'mibench', 'sha', 24042131, 24033031
'128, SCC 2048', 'mibench', 'ssusan_small', 32862907, 31799491
'256, SCC 2048', 'mibench', 'ssusan_small', 32713369, 31799491
'512, SCC 2048', 'mibench', 'ssusan_small', 32535448, 31799491
'128, SCC 2048', 'mrtc', 'adpcm', 2236522, 2236195
'256, SCC 2048', 'mrtc', 'adpcm', 2236474, 2236195
'512, SCC 2048', 'mrtc', 'adpcm', 2236459, 2236195
'128, SCC 2048', 'mrtc', 'bsort100', 207219, 177137
'256, SCC 2048', 'mrtc', 'bsort100', 207186, 177137
'512, SCC 2048', 'mrtc', 'bsort100', 177229, 177137
'128, SCC 2048', 'mrtc', 'bs', 772, 627
'256, SCC 2048', 'mrtc', 'bs', 745, 627
'512, SCC 2048', 'mrtc', 'bs', 725, 627
'128, SCC 2048', 'mrtc', 'cnt', 3975, 3826
'256, SCC 2048', 'mrtc', 'cnt', 3948, 3826
'512, SCC 2048', 'mrtc', 'cnt', 3931, 3826
'128, SCC 2048', 'mrtc', 'compress', 7715, 7071
'256, SCC 2048', 'mrtc', 'compress', 7685, 7071
'512, SCC 2048', 'mrtc', 'compress', 7668, 7071
